Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
10 29 2013,Box Score,Orlando Magic,87,Indiana Pacers,97,,
10 29 2013,Box Score,Los Angeles Clippers,103,Los Angeles Lakers,116,,
10 29 2013,Box Score,Chicago Bulls,95,Miami Heat,107,,
10 30 2013,Box Score,Brooklyn Nets,94,Cleveland Cavaliers,98,,
10 30 2013,Box Score,Atlanta Hawks,109,Dallas Mavericks,118,,
10 30 2013,Box Score,Washington Wizards,102,Detroit Pistons,113,,
10 30 2013,Box Score,Los Angeles Lakers,94,Golden State Warriors,125,,
10 30 2013,Box Score,Charlotte Bobcats,83,Houston Rockets,96,,
10 30 2013,Box Score,Orlando Magic,115,Minnesota Timberwolves,120,OT,
10 30 2013,Box Score,Indiana Pacers,95,New Orleans Pelicans,90,,
10 30 2013,Box Score,Milwaukee Bucks,83,New York Knicks,90,,
10 30 2013,Box Score,Miami Heat,110,Philadelphia 76ers,114,,
10 30 2013,Box Score,Portland Trail Blazers,91,Phoenix Suns,104,,
10 30 2013,Box Score,Denver Nuggets,88,Sacramento Kings,90,,
10 30 2013,Box Score,Memphis Grizzlies,94,San Antonio Spurs,101,,
10 30 2013,Box Score,Boston Celtics,87,Toronto Raptors,93,,
10 30 2013,Box Score,Oklahoma City Thunder,101,Utah Jazz,98,,
10 31 2013,Box Score,New York Knicks,81,Chicago Bulls,82,,
10 31 2013,Box Score,Golden State Warriors,115,Los Angeles Clippers,126,,
11 1 2013,Box Score,Toronto Raptors,95,Atlanta Hawks,102,,
11 1 2013,Box Score,Milwaukee Bucks,105,Boston Celtics,98,,
11 1 2013,Box Score,Miami Heat,100,Brooklyn Nets,101,,
11 1 2013,Box Score,Cleveland Cavaliers,84,Charlotte Bobcats,90,,
11 1 2013,Box Score,Portland Trail Blazers,113,Denver Nuggets,98,,
11 1 2013,Box Score,Dallas Mavericks,105,Houston Rockets,113,,
11 1 2013,Box Score,San Antonio Spurs,91,Los Angeles Lakers,85,,
11 1 2013,Box Score,Detroit Pistons,108,Memphis Grizzlies,111,OT,
11 1 2013,Box Score,Oklahoma City Thunder,81,Minnesota Timberwolves,100,,
11 1 2013,Box Score,New Orleans Pelicans,90,Orlando Magic,110,,
11 1 2013,Box Score,Utah Jazz,84,Phoenix Suns,87,,
11 1 2013,Box Score,Los Angeles Clippers,110,Sacramento Kings,101,,
11 1 2013,Box Score,Philadelphia 76ers,109,Washington Wizards,102,,
11 2 2013,Box Score,Memphis Grizzlies,99,Dallas Mavericks,111,,
11 2 2013,Box Score,Sacramento Kings,87,Golden State Warriors,98,,
11 2 2013,Box Score,Cleveland Cavaliers,74,Indiana Pacers,89,,
11 2 2013,Box Score,Toronto Raptors,97,Milwaukee Bucks,90,,
11 2 2013,Box Score,Charlotte Bobcats,84,New Orleans Pelicans,105,,
11 2 2013,Box Score,Chicago Bulls,104,Philadelphia 76ers,107,,
11 2 2013,Box Score,San Antonio Spurs,105,Portland Trail Blazers,115,,
11 2 2013,Box Score,Houston Rockets,104,Utah Jazz,93,,
11 3 2013,Box Score,Boston Celtics,77,Detroit Pistons,87,,
11 3 2013,Box Score,Atlanta Hawks,103,Los Angeles Lakers,105,,
11 3 2013,Box Score,Washington Wizards,93,Miami Heat,103,,
11 3 2013,Box Score,Minnesota Timberwolves,109,New York Knicks,100,,
11 3 2013,Box Score,Phoenix Suns,96,Oklahoma City Thunder,103,,
11 3 2013,Box Score,Brooklyn Nets,86,Orlando Magic,107,,
11 4 2013,Box Score,Minnesota Timberwolves,92,Cleveland Cavaliers,93,,
11 4 2013,Box Score,Houston Rockets,118,Los Angeles Clippers,137,,
11 4 2013,Box Score,Boston Celtics,88,Memphis Grizzlies,95,,
11 4 2013,Box Score,Golden State Warriors,110,Philadelphia 76ers,90,,
11 5 2013,Box Score,Utah Jazz,88,Brooklyn Nets,104,,
11 5 2013,Box Score,Los Angeles Lakers,104,Dallas Mavericks,123,,
11 5 2013,Box Score,San Antonio Spurs,102,Denver Nuggets,94,,
11 5 2013,Box Score,Indiana Pacers,99,Detroit Pistons,91,,
11 5 2013,Box Score,Phoenix Suns,104,New Orleans Pelicans,98,,
11 5 2013,Box Score,Charlotte Bobcats,102,New York Knicks,97,,
11 5 2013,Box Score,Houston Rockets,116,Portland Trail Blazers,101,,
11 5 2013,Box Score,Atlanta Hawks,105,Sacramento Kings,100,,
11 5 2013,Box Score,Miami Heat,104,Toronto Raptors,95,,
11 6 2013,Box Score,Utah Jazz,87,Boston Celtics,97,,
11 6 2013,Box Score,Toronto Raptors,90,Charlotte Bobcats,92,,
11 6 2013,Box Score,Chicago Bulls,80,Indiana Pacers,97,,
11 6 2013,Box Score,New Orleans Pelicans,99,Memphis Grizzlies,84,,
11 6 2013,Box Score,Cleveland Cavaliers,104,Milwaukee Bucks,109,,
11 6 2013,Box Score,Golden State Warriors,106,Minnesota Timberwolves,93,,
11 6 2013,Box Score,Dallas Mavericks,93,Oklahoma City Thunder,107,,
11 6 2013,Box Score,Los Angeles Clippers,90,Orlando Magic,98,,
11 6 2013,Box Score,Washington Wizards,116,Philadelphia 76ers,102,,
11 6 2013,Box Score,Phoenix Suns,96,San Antonio Spurs,99,,
11 7 2013,Box Score,Atlanta Hawks,107,Denver Nuggets,109,,
11 7 2013,Box Score,Los Angeles Lakers,99,Houston Rockets,98,,
11 7 2013,Box Score,Los Angeles Clippers,97,Miami Heat,102,,
11 8 2013,Box Score,New York Knicks,101,Charlotte Bobcats,91,,
11 8 2013,Box Score,Utah Jazz,73,Chicago Bulls,97,,
11 8 2013,Box Score,Oklahoma City Thunder,119,Detroit Pistons,110,,
11 8 2013,Box Score,Toronto Raptors,84,Indiana Pacers,91,,
11 8 2013,Box Score,Dallas Mavericks,108,Minnesota Timberwolves,116,,
11 8 2013,Box Score,Los Angeles Lakers,85,New Orleans Pelicans,96,,
11 8 2013,Box Score,Boston Celtics,91,Orlando Magic,89,,
11 8 2013,Box Score,Cleveland Cavaliers,79,Philadelphia 76ers,94,,
11 8 2013,Box Score,Denver Nuggets,103,Phoenix Suns,114,,
11 8 2013,Box Score,Sacramento Kings,91,Portland Trail Blazers,104,,
11 8 2013,Box Score,Golden State Warriors,74,San Antonio Spurs,76,,
11 8 2013,Box Score,Brooklyn Nets,108,Washington Wizards,112,OT,
11 9 2013,Box Score,Orlando Magic,94,Atlanta Hawks,104,,
11 9 2013,Box Score,Indiana Pacers,96,Brooklyn Nets,91,,
11 9 2013,Box Score,Philadelphia 76ers,125,Cleveland Cavaliers,127,2OT,
11 9 2013,Box Score,Los Angeles Clippers,107,Houston Rockets,94,,
11 9 2013,Box Score,Golden State Warriors,90,Memphis Grizzlies,108,,
11 9 2013,Box Score,Boston Celtics,111,Miami Heat,110,,
11 9 2013,Box Score,Dallas Mavericks,91,Milwaukee Bucks,83,,
11 9 2013,Box Score,Portland Trail Blazers,96,Sacramento Kings,85,,
11 9 2013,Box Score,Utah Jazz,91,Toronto Raptors,115,,
11 10 2013,Box Score,Minnesota Timberwolves,113,Los Angeles Lakers,90,,
11 10 2013,Box Score,San Antonio Spurs,120,New York Knicks,89,,
11 10 2013,Box Score,Washington Wizards,105,Oklahoma City Thunder,106,OT,
11 10 2013,Box Score,New Orleans Pelicans,94,Phoenix Suns,101,,
11 11 2013,Box Score,Orlando Magic,105,Boston Celtics,120,,
11 11 2013,Box Score,Atlanta Hawks,103,Charlotte Bobcats,94,,
11 11 2013,Box Score,Cleveland Cavaliers,81,Chicago Bulls,96,,
11 11 2013,Box Score,Toronto Raptors,104,Houston Rockets,110,2OT,
11 11 2013,Box Score,Memphis Grizzlies,79,Indiana Pacers,95,,
11 11 2013,Box Score,Minnesota Timberwolves,107,Los Angeles Clippers,109,,
11 11 2013,Box Score,San Antonio Spurs,109,Philadelphia 76ers,85,,
11 11 2013,Box Score,Detroit Pistons,103,Portland Trail Blazers,109,,
11 11 2013,Box Score,Denver Nuggets,100,Utah Jazz,81,,
11 12 2013,Box Score,Washington Wizards,95,Dallas Mavericks,105,,
11 12 2013,Box Score,Detroit Pistons,95,Golden State Warriors,113,,
11 12 2013,Box Score,New Orleans Pelicans,95,Los Angeles Lakers,116,,
11 12 2013,Box Score,Milwaukee Bucks,95,Miami Heat,118,,
11 13 2013,Box Score,New York Knicks,95,Atlanta Hawks,91,,
11 13 2013,Box Score,Charlotte Bobcats,89,Boston Celtics,83,,
11 13 2013,Box Score,Los Angeles Lakers,99,Denver Nuggets,111,,
11 13 2013,Box Score,Oklahoma City Thunder,103,Los Angeles Clippers,111,,
11 13 2013,Box Score,Toronto Raptors,103,Memphis Grizzlies,87,,
11 13 2013,Box Score,Cleveland Cavaliers,95,Minnesota Timberwolves,124,,
11 13 2013,Box Score,Milwaukee Bucks,91,Orlando Magic,94,,
11 13 2013,Box Score,Houston Rockets,117,Philadelphia 76ers,123,OT,
11 13 2013,Box Score,Phoenix Suns,89,Portland Trail Blazers,90,,
11 13 2013,Box Score,Brooklyn Nets,86,Sacramento Kings,107,,
11 13 2013,Box Score,Washington Wizards,79,San Antonio Spurs,92,,
11 13 2013,Box Score,New Orleans Pelicans,105,Utah Jazz,111,,
11 14 2013,Box Score,Oklahoma City Thunder,115,Golden State Warriors,116,,
11 14 2013,Box Score,Houston Rockets,109,New York Knicks,106,,
11 15 2013,Box Score,Philadelphia 76ers,103,Atlanta Hawks,113,,
11 15 2013,Box Score,Portland Trail Blazers,109,Boston Celtics,96,,
11 15 2013,Box Score,Charlotte Bobcats,86,Cleveland Cavaliers,80,,
11 15 2013,Box Score,Minnesota Timberwolves,113,Denver Nuggets,117,,
11 15 2013,Box Score,Milwaukee Bucks,77,Indiana Pacers,104,,
11 15 2013,Box Score,Memphis Grizzlies,89,Los Angeles Lakers,86,,
11 15 2013,Box Score,Dallas Mavericks,104,Miami Heat,110,,
11 15 2013,Box Score,Brooklyn Nets,100,Phoenix Suns,98,OT,
11 15 2013,Box Score,Detroit Pistons,97,Sacramento Kings,90,,
11 15 2013,Box Score,Chicago Bulls,96,Toronto Raptors,80,,
11 15 2013,Box Score,San Antonio Spurs,91,Utah Jazz,82,,
11 16 2013,Box Score,Miami Heat,97,Charlotte Bobcats,81,,
11 16 2013,Box Score,Indiana Pacers,94,Chicago Bulls,110,,
11 16 2013,Box Score,Utah Jazz,88,Golden State Warriors,102,,
11 16 2013,Box Score,Denver Nuggets,111,Houston Rockets,122,,
11 16 2013,Box Score,Brooklyn Nets,103,Los Angeles Clippers,110,,
11 16 2013,Box Score,Oklahoma City Thunder,92,Milwaukee Bucks,79,,
11 16 2013,Box Score,Boston Celtics,88,Minnesota Timberwolves,106,,
11 16 2013,Box Score,Philadelphia 76ers,98,New Orleans Pelicans,135,,
11 16 2013,Box Score,Atlanta Hawks,110,New York Knicks,90,,
11 16 2013,Box Score,Dallas Mavericks,108,Orlando Magic,100,,
11 16 2013,Box Score,Cleveland Cavaliers,103,Washington Wizards,96,OT,
11 17 2013,Box Score,Detroit Pistons,99,Los Angeles Lakers,114,,
11 17 2013,Box Score,Memphis Grizzlies,97,Sacramento Kings,86,,
11 17 2013,Box Score,Portland Trail Blazers,118,Toronto Raptors,110,OT,
11 18 2013,Box Score,Portland Trail Blazers,108,Brooklyn Nets,98,,
11 18 2013,Box Score,Charlotte Bobcats,81,Chicago Bulls,86,,
11 18 2013,Box Score,Philadelphia 76ers,94,Dallas Mavericks,97,,
11 18 2013,Box Score,Memphis Grizzlies,106,Los Angeles Clippers,102,,
11 18 2013,Box Score,Denver Nuggets,113,Oklahoma City Thunder,115,,
11 18 2013,Box Score,Golden State Warriors,98,Utah Jazz,87,,
11 19 2013,Box Score,New York Knicks,86,Detroit Pistons,92,,
11 19 2013,Box Score,Boston Celtics,85,Houston Rockets,109,,
11 19 2013,Box Score,Atlanta Hawks,88,Miami Heat,104,,
11 19 2013,Box Score,Phoenix Suns,104,Sacramento Kings,107,,
11 19 2013,Box Score,Minnesota Timberwolves,100,Washington Wizards,104,,
11 20 2013,Box Score,Detroit Pistons,85,Atlanta Hawks,93,,
11 20 2013,Box Score,Brooklyn Nets,91,Charlotte Bobcats,95,,
11 20 2013,Box Score,Washington Wizards,98,Cleveland Cavaliers,91,,
11 20 2013,Box Score,Houston Rockets,120,Dallas Mavericks,123,,
11 20 2013,Box Score,Memphis Grizzlies,88,Golden State Warriors,81,OT,
11 20 2013,Box Score,Portland Trail Blazers,91,Milwaukee Bucks,82,,
11 20 2013,Box Score,Los Angeles Clippers,102,Minnesota Timberwolves,98,,
11 20 2013,Box Score,Utah Jazz,98,New Orleans Pelicans,105,,
11 20 2013,Box Score,Indiana Pacers,103,New York Knicks,96,OT,
11 20 2013,Box Score,Miami Heat,120,Orlando Magic,92,,
11 20 2013,Box Score,Toronto Raptors,108,Philadelphia 76ers,98,,
11 20 2013,Box Score,Sacramento Kings,113,Phoenix Suns,106,,
11 20 2013,Box Score,Boston Celtics,93,San Antonio Spurs,104,,
11 21 2013,Box Score,Chicago Bulls,87,Denver Nuggets,97,,
11 21 2013,Box Score,Los Angeles Clippers,91,Oklahoma City Thunder,105,,
11 22 2013,Box Score,Indiana Pacers,97,Boston Celtics,82,,
11 22 2013,Box Score,Phoenix Suns,98,Charlotte Bobcats,91,,
11 22 2013,Box Score,Utah Jazz,93,Dallas Mavericks,103,,
11 22 2013,Box Score,Atlanta Hawks,96,Detroit Pistons,89,,
11 22 2013,Box Score,Golden State Warriors,95,Los Angeles Lakers,102,,
11 22 2013,Box Score,San Antonio Spurs,102,Memphis Grizzlies,86,,
11 22 2013,Box Score,Brooklyn Nets,81,Minnesota Timberwolves,111,,
11 22 2013,Box Score,Cleveland Cavaliers,100,New Orleans Pelicans,104,,
11 22 2013,Box Score,Milwaukee Bucks,107,Philadelphia 76ers,115,OT,
11 22 2013,Box Score,Chicago Bulls,95,Portland Trail Blazers,98,,
11 22 2013,Box Score,Washington Wizards,88,Toronto Raptors,96,,
11 23 2013,Box Score,Boston Celtics,94,Atlanta Hawks,87,,
11 23 2013,Box Score,Dallas Mavericks,100,Denver Nuggets,102,,
11 23 2013,Box Score,Portland Trail Blazers,113,Golden State Warriors,101,,
11 23 2013,Box Score,Minnesota Timberwolves,101,Houston Rockets,112,,
11 23 2013,Box Score,Philadelphia 76ers,98,Indiana Pacers,106,,
11 23 2013,Box Score,Sacramento Kings,102,Los Angeles Clippers,103,,
11 23 2013,Box Score,Orlando Magic,99,Miami Heat,101,,
11 23 2013,Box Score,Charlotte Bobcats,96,Milwaukee Bucks,72,,
11 23 2013,Box Score,Cleveland Cavaliers,96,San Antonio Spurs,126,,
11 23 2013,Box Score,New York Knicks,89,Washington Wizards,98,,
11 24 2013,Box Score,Detroit Pistons,109,Brooklyn Nets,97,,
11 24 2013,Box Score,Chicago Bulls,82,Los Angeles Clippers,121,,
11 24 2013,Box Score,Sacramento Kings,86,Los Angeles Lakers,100,,
11 24 2013,Box Score,Utah Jazz,73,Oklahoma City Thunder,95,,
11 24 2013,Box Score,Phoenix Suns,104,Orlando Magic,96,,
11 25 2013,Box Score,Boston Celtics,96,Charlotte Bobcats,86,,
11 25 2013,Box Score,Denver Nuggets,110,Dallas Mavericks,96,,
11 25 2013,Box Score,Milwaukee Bucks,94,Detroit Pistons,113,,
11 25 2013,Box Score,Minnesota Timberwolves,84,Indiana Pacers,98,,
11 25 2013,Box Score,Houston Rockets,93,Memphis Grizzlies,86,,
11 25 2013,Box Score,Phoenix Suns,92,Miami Heat,107,,
11 25 2013,Box Score,New York Knicks,91,Portland Trail Blazers,102,,
11 25 2013,Box Score,New Orleans Pelicans,93,San Antonio Spurs,112,,
11 25 2013,Box Score,Chicago Bulls,83,Utah Jazz,89,OT,
11 26 2013,Box Score,Orlando Magic,109,Atlanta Hawks,92,,
11 26 2013,Box Score,Golden State Warriors,102,New Orleans Pelicans,101,,
11 26 2013,Box Score,Brooklyn Nets,102,Toronto Raptors,100,,
11 26 2013,Box Score,Los Angeles Lakers,111,Washington Wizards,116,,
11 27 2013,Box Score,Memphis Grizzlies,100,Boston Celtics,93,,
11 27 2013,Box Score,Los Angeles Lakers,99,Brooklyn Nets,94,,
11 27 2013,Box Score,Indiana Pacers,99,Charlotte Bobcats,74,,
11 27 2013,Box Score,Miami Heat,95,Cleveland Cavaliers,84,,
11 27 2013,Box Score,Golden State Warriors,99,Dallas Mavericks,103,,
11 27 2013,Box Score,Chicago Bulls,99,Detroit Pistons,79,,
11 27 2013,Box Score,Atlanta Hawks,84,Houston Rockets,113,,
11 27 2013,Box Score,New York Knicks,80,Los Angeles Clippers,93,,
11 27 2013,Box Score,Washington Wizards,100,Milwaukee Bucks,92,OT,
11 27 2013,Box Score,Denver Nuggets,117,Minnesota Timberwolves,110,,
11 27 2013,Box Score,San Antonio Spurs,88,Oklahoma City Thunder,94,,
11 27 2013,Box Score,Philadelphia 76ers,94,Orlando Magic,105,,
11 27 2013,Box Score,Portland Trail Blazers,106,Phoenix Suns,120,,
11 29 2013,Box Score,Dallas Mavericks,87,Atlanta Hawks,88,,
11 29 2013,Box Score,Cleveland Cavaliers,86,Boston Celtics,103,,
11 29 2013,Box Score,Milwaukee Bucks,76,Charlotte Bobcats,92,,
11 29 2013,Box Score,New York Knicks,95,Denver Nuggets,97,,
11 29 2013,Box Score,Los Angeles Lakers,106,Detroit Pistons,102,,
11 29 2013,Box Score,Brooklyn Nets,95,Houston Rockets,114,,
11 29 2013,Box Score,Washington Wizards,73,Indiana Pacers,93,,
11 29 2013,Box Score,Golden State Warriors,112,Oklahoma City Thunder,113,OT,
11 29 2013,Box Score,San Antonio Spurs,109,Orlando Magic,91,,
11 29 2013,Box Score,New Orleans Pelicans,121,Philadelphia 76ers,105,,
11 29 2013,Box Score,Los Angeles Clippers,104,Sacramento Kings,98,OT,
11 29 2013,Box Score,Miami Heat,90,Toronto Raptors,83,,
11 29 2013,Box Score,Phoenix Suns,112,Utah Jazz,101,,
11 30 2013,Box Score,Chicago Bulls,93,Cleveland Cavaliers,97,,
11 30 2013,Box Score,Minnesota Timberwolves,112,Dallas Mavericks,106,,
11 30 2013,Box Score,Brooklyn Nets,97,Memphis Grizzlies,88,,
11 30 2013,Box Score,Boston Celtics,85,Milwaukee Bucks,92,,
11 30 2013,Box Score,Utah Jazz,112,Phoenix Suns,104,,
11 30 2013,Box Score,Houston Rockets,112,San Antonio Spurs,106,,
11 30 2013,Box Score,Atlanta Hawks,101,Washington Wizards,108,,
12 1 2013,Box Score,Philadelphia 76ers,100,Detroit Pistons,115,,
12 1 2013,Box Score,Indiana Pacers,105,Los Angeles Clippers,100,,
12 1 2013,Box Score,Portland Trail Blazers,114,Los Angeles Lakers,108,,
12 1 2013,Box Score,Charlotte Bobcats,98,Miami Heat,99,,
12 1 2013,Box Score,New Orleans Pelicans,103,New York Knicks,99,,
12 1 2013,Box Score,Minnesota Timberwolves,103,Oklahoma City Thunder,113,,
12 1 2013,Box Score,Golden State Warriors,115,Sacramento Kings,113,,
12 1 2013,Box Score,Denver Nuggets,112,Toronto Raptors,98,,
12 2 2013,Box Score,New Orleans Pelicans,131,Chicago Bulls,128,3OT,
12 2 2013,Box Score,Indiana Pacers,102,Portland Trail Blazers,106,,
12 2 2013,Box Score,Atlanta Hawks,100,San Antonio Spurs,102,,
12 2 2013,Box Score,Houston Rockets,103,Utah Jazz,109,,
12 2 2013,Box Score,Orlando Magic,80,Washington Wizards,98,,
12 3 2013,Box Score,Milwaukee Bucks,100,Boston Celtics,108,,
12 3 2013,Box Score,Denver Nuggets,111,Brooklyn Nets,87,,
12 3 2013,Box Score,Charlotte Bobcats,82,Dallas Mavericks,89,,
12 3 2013,Box Score,Toronto Raptors,103,Golden State Warriors,112,,
12 3 2013,Box Score,Phoenix Suns,91,Memphis Grizzlies,110,,
12 3 2013,Box Score,Detroit Pistons,107,Miami Heat,97,,
12 3 2013,Box Score,Orlando Magic,125,Philadelphia 76ers,126,2OT,
12 3 2013,Box Score,Oklahoma City Thunder,97,Sacramento Kings,95,,
12 4 2013,Box Score,Los Angeles Clippers,97,Atlanta Hawks,107,,
12 4 2013,Box Score,Denver Nuggets,88,Cleveland Cavaliers,98,,
12 4 2013,Box Score,Phoenix Suns,97,Houston Rockets,88,,
12 4 2013,Box Score,Detroit Pistons,105,Milwaukee Bucks,98,,
12 4 2013,Box Score,Dallas Mavericks,100,New Orleans Pelicans,97,,
12 4 2013,Box Score,Oklahoma City Thunder,104,Portland Trail Blazers,111,,
12 4 2013,Box Score,Indiana Pacers,95,Utah Jazz,86,,
12 5 2013,Box Score,New York Knicks,113,Brooklyn Nets,83,,
12 5 2013,Box Score,Miami Heat,87,Chicago Bulls,107,,
12 5 2013,Box Score,Los Angeles Clippers,101,Memphis Grizzlies,81,,
12 6 2013,Box Score,Cleveland Cavaliers,89,Atlanta Hawks,108,,
12 6 2013,Box Score,Denver Nuggets,98,Boston Celtics,106,,
12 6 2013,Box Score,Philadelphia 76ers,88,Charlotte Bobcats,105,,
12 6 2013,Box Score,Golden State Warriors,83,Houston Rockets,105,,
12 6 2013,Box Score,Oklahoma City Thunder,109,New Orleans Pelicans,95,,
12 6 2013,Box Score,Orlando Magic,83,New York Knicks,121,,
12 6 2013,Box Score,Toronto Raptors,97,Phoenix Suns,106,,
12 6 2013,Box Score,Utah Jazz,98,Portland Trail Blazers,130,,
12 6 2013,Box Score,Los Angeles Lakers,106,Sacramento Kings,100,,
12 6 2013,Box Score,Milwaukee Bucks,109,Washington Wizards,105,OT,
12 7 2013,Box Score,Detroit Pistons,92,Chicago Bulls,75,,
12 7 2013,Box Score,Los Angeles Clippers,82,Cleveland Cavaliers,88,,
12 7 2013,Box Score,Golden State Warriors,108,Memphis Grizzlies,82,,
12 7 2013,Box Score,Brooklyn Nets,90,Milwaukee Bucks,82,,
12 7 2013,Box Score,Miami Heat,103,Minnesota Timberwolves,82,,
12 7 2013,Box Score,Denver Nuggets,103,Philadelphia 76ers,92,,
12 7 2013,Box Score,Dallas Mavericks,108,Portland Trail Blazers,106,,
12 7 2013,Box Score,Indiana Pacers,111,San Antonio Spurs,100,,
12 7 2013,Box Score,Sacramento Kings,112,Utah Jazz,102,OT,
12 8 2013,Box Score,Miami Heat,110,Detroit Pistons,95,,
12 8 2013,Box Score,Orlando Magic,88,Houston Rockets,98,,
12 8 2013,Box Score,Toronto Raptors,106,Los Angeles Lakers,94,,
12 8 2013,Box Score,Boston Celtics,114,New York Knicks,73,,
12 8 2013,Box Score,Indiana Pacers,94,Oklahoma City Thunder,118,,
12 9 2013,Box Score,Golden State Warriors,111,Charlotte Bobcats,115,,
12 9 2013,Box Score,Orlando Magic,85,Memphis Grizzlies,94,,
12 9 2013,Box Score,Los Angeles Clippers,94,Philadelphia 76ers,83,,
12 9 2013,Box Score,Dallas Mavericks,97,Sacramento Kings,112,,
12 9 2013,Box Score,Portland Trail Blazers,105,Utah Jazz,94,,
12 9 2013,Box Score,Denver Nuggets,75,Washington Wizards,74,,
12 10 2013,Box Score,Oklahoma City Thunder,101,Atlanta Hawks,92,,
12 10 2013,Box Score,Boston Celtics,96,Brooklyn Nets,104,,
12 10 2013,Box Score,Milwaukee Bucks,78,Chicago Bulls,74,,
12 10 2013,Box Score,New York Knicks,94,Cleveland Cavaliers,109,,
12 10 2013,Box Score,Minnesota Timberwolves,121,Detroit Pistons,94,,
12 10 2013,Box Score,Miami Heat,84,Indiana Pacers,90,,
12 10 2013,Box Score,Phoenix Suns,114,Los Angeles Lakers,108,,
12 10 2013,Box Score,San Antonio Spurs,116,Toronto Raptors,103,,
12 11 2013,Box Score,Los Angeles Clippers,96,Boston Celtics,88,,
12 11 2013,Box Score,Orlando Magic,92,Charlotte Bobcats,83,,
12 11 2013,Box Score,Dallas Mavericks,93,Golden State Warriors,95,,
12 11 2013,Box Score,Oklahoma City Thunder,116,Memphis Grizzlies,100,,
12 11 2013,Box Score,San Antonio Spurs,109,Milwaukee Bucks,77,,
12 11 2013,Box Score,Philadelphia 76ers,99,Minnesota Timberwolves,106,,
12 11 2013,Box Score,Detroit Pistons,106,New Orleans Pelicans,111,OT,
12 11 2013,Box Score,Chicago Bulls,78,New York Knicks,83,,
12 11 2013,Box Score,Utah Jazz,122,Sacramento Kings,101,,
12 12 2013,Box Score,Los Angeles Clippers,93,Brooklyn Nets,102,,
12 12 2013,Box Score,Houston Rockets,104,Portland Trail Blazers,111,,
