Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
1 26 2014,Box Score,Portland Trail Blazers,88,Golden State Warriors,103,,
1 26 2014,Box Score,San Antonio Spurs,101,Miami Heat,113,,
1 26 2014,Box Score,Orlando Magic,92,New Orleans Pelicans,100,,
1 26 2014,Box Score,Los Angeles Lakers,103,New York Knicks,110,,
1 26 2014,Box Score,Denver Nuggets,125,Sacramento Kings,117,,
1 27 2014,Box Score,Toronto Raptors,104,Brooklyn Nets,103,,
1 27 2014,Box Score,Minnesota Timberwolves,95,Chicago Bulls,86,,
1 27 2014,Box Score,Los Angeles Clippers,114,Milwaukee Bucks,86,,
1 27 2014,Box Score,Atlanta Hawks,109,Oklahoma City Thunder,111,,
1 27 2014,Box Score,Phoenix Suns,124,Philadelphia 76ers,113,,
1 27 2014,Box Score,Sacramento Kings,99,Utah Jazz,106,,
1 28 2014,Box Score,New Orleans Pelicans,100,Cleveland Cavaliers,89,,
1 28 2014,Box Score,Orlando Magic,87,Detroit Pistons,103,,
1 28 2014,Box Score,Washington Wizards,88,Golden State Warriors,85,,
1 28 2014,Box Score,San Antonio Spurs,90,Houston Rockets,97,,
1 28 2014,Box Score,Indiana Pacers,104,Los Angeles Lakers,92,,
1 28 2014,Box Score,Boston Celtics,88,New York Knicks,114,,
1 28 2014,Box Score,Memphis Grizzlies,98,Portland Trail Blazers,81,,
1 29 2014,Box Score,Philadelphia 76ers,95,Boston Celtics,94,,
1 29 2014,Box Score,Houston Rockets,117,Dallas Mavericks,115,,
1 29 2014,Box Score,Charlotte Bobcats,101,Denver Nuggets,98,,
1 29 2014,Box Score,Washington Wizards,103,Los Angeles Clippers,110,,
1 29 2014,Box Score,Oklahoma City Thunder,112,Miami Heat,95,,
1 29 2014,Box Score,Phoenix Suns,126,Milwaukee Bucks,117,,
1 29 2014,Box Score,New Orleans Pelicans,77,Minnesota Timberwolves,88,,
1 29 2014,Box Score,Memphis Grizzlies,99,Sacramento Kings,89,,
1 29 2014,Box Score,Chicago Bulls,96,San Antonio Spurs,86,,
1 29 2014,Box Score,Orlando Magic,83,Toronto Raptors,98,,
1 30 2014,Box Score,Los Angeles Clippers,92,Golden State Warriors,111,,
1 30 2014,Box Score,Phoenix Suns,102,Indiana Pacers,94,,
1 30 2014,Box Score,Cleveland Cavaliers,86,New York Knicks,117,,
1 31 2014,Box Score,Oklahoma City Thunder,120,Brooklyn Nets,95,,
1 31 2014,Box Score,Sacramento Kings,103,Dallas Mavericks,107,,
1 31 2014,Box Score,Toronto Raptors,100,Denver Nuggets,90,,
1 31 2014,Box Score,Charlotte Bobcats,110,Los Angeles Lakers,100,,
1 31 2014,Box Score,Memphis Grizzlies,94,Minnesota Timberwolves,90,,
1 31 2014,Box Score,Milwaukee Bucks,102,Orlando Magic,113,,
1 31 2014,Box Score,Atlanta Hawks,125,Philadelphia 76ers,99,,
1 31 2014,Box Score,Golden State Warriors,95,Utah Jazz,90,,
2 1 2014,Box Score,Minnesota Timberwolves,113,Atlanta Hawks,120,,
2 1 2014,Box Score,Philadelphia 76ers,96,Detroit Pistons,113,,
2 1 2014,Box Score,Cleveland Cavaliers,92,Houston Rockets,106,,
2 1 2014,Box Score,Brooklyn Nets,96,Indiana Pacers,97,,
2 1 2014,Box Score,Utah Jazz,87,Los Angeles Clippers,102,,
2 1 2014,Box Score,Milwaukee Bucks,90,Memphis Grizzlies,99,,
2 1 2014,Box Score,Chicago Bulls,79,New Orleans Pelicans,88,,
2 1 2014,Box Score,Miami Heat,106,New York Knicks,91,,
2 1 2014,Box Score,Charlotte Bobcats,95,Phoenix Suns,105,,
2 1 2014,Box Score,Toronto Raptors,103,Portland Trail Blazers,106,,
2 1 2014,Box Score,Sacramento Kings,93,San Antonio Spurs,95,,
2 1 2014,Box Score,Oklahoma City Thunder,81,Washington Wizards,96,,
2 2 2014,Box Score,Orlando Magic,89,Boston Celtics,96,,
2 3 2014,Box Score,Philadelphia 76ers,102,Brooklyn Nets,108,,
2 3 2014,Box Score,Cleveland Cavaliers,107,Dallas Mavericks,124,,
2 3 2014,Box Score,Los Angeles Clippers,115,Denver Nuggets,116,,
2 3 2014,Box Score,Orlando Magic,79,Indiana Pacers,98,,
2 3 2014,Box Score,Detroit Pistons,96,Miami Heat,102,,
2 3 2014,Box Score,New York Knicks,98,Milwaukee Bucks,101,,
2 3 2014,Box Score,San Antonio Spurs,102,New Orleans Pelicans,95,,
2 3 2014,Box Score,Memphis Grizzlies,77,Oklahoma City Thunder,86,,
2 3 2014,Box Score,Chicago Bulls,70,Sacramento Kings,99,,
2 3 2014,Box Score,Toronto Raptors,94,Utah Jazz,79,,
2 3 2014,Box Score,Portland Trail Blazers,90,Washington Wizards,100,,
2 4 2014,Box Score,Indiana Pacers,89,Atlanta Hawks,85,,
2 4 2014,Box Score,Charlotte Bobcats,91,Golden State Warriors,75,,
2 4 2014,Box Score,Los Angeles Lakers,99,Minnesota Timberwolves,109,,
2 4 2014,Box Score,Chicago Bulls,101,Phoenix Suns,92,,
2 5 2014,Box Score,Los Angeles Lakers,119,Cleveland Cavaliers,108,,
2 5 2014,Box Score,Milwaukee Bucks,100,Denver Nuggets,110,,
2 5 2014,Box Score,Phoenix Suns,108,Houston Rockets,122,,
2 5 2014,Box Score,Miami Heat,116,Los Angeles Clippers,112,,
2 5 2014,Box Score,Dallas Mavericks,110,Memphis Grizzlies,96,,
2 5 2014,Box Score,Atlanta Hawks,100,New Orleans Pelicans,105,,
2 5 2014,Box Score,Portland Trail Blazers,94,New York Knicks,90,,
2 5 2014,Box Score,Minnesota Timberwolves,97,Oklahoma City Thunder,106,,
2 5 2014,Box Score,Detroit Pistons,98,Orlando Magic,112,,
2 5 2014,Box Score,Boston Celtics,114,Philadelphia 76ers,108,,
2 5 2014,Box Score,Toronto Raptors,101,Sacramento Kings,109,,
2 5 2014,Box Score,San Antonio Spurs,125,Washington Wizards,118,2OT,
2 6 2014,Box Score,San Antonio Spurs,89,Brooklyn Nets,103,,
2 6 2014,Box Score,Chicago Bulls,87,Golden State Warriors,102,,
2 7 2014,Box Score,Sacramento Kings,89,Boston Celtics,99,,
2 7 2014,Box Score,Utah Jazz,81,Dallas Mavericks,103,,
2 7 2014,Box Score,Brooklyn Nets,95,Detroit Pistons,111,,
2 7 2014,Box Score,Portland Trail Blazers,113,Indiana Pacers,118,OT,
2 7 2014,Box Score,Toronto Raptors,105,Los Angeles Clippers,118,,
2 7 2014,Box Score,Minnesota Timberwolves,91,New Orleans Pelicans,98,,
2 7 2014,Box Score,Denver Nuggets,90,New York Knicks,117,,
2 7 2014,Box Score,Oklahoma City Thunder,102,Orlando Magic,103,,
2 7 2014,Box Score,Los Angeles Lakers,112,Philadelphia 76ers,98,,
2 7 2014,Box Score,Cleveland Cavaliers,115,Washington Wizards,113,,
2 8 2014,Box Score,Memphis Grizzlies,79,Atlanta Hawks,76,,
2 8 2014,Box Score,San Antonio Spurs,104,Charlotte Bobcats,100,,
2 8 2014,Box Score,Denver Nuggets,109,Detroit Pistons,126,,
2 8 2014,Box Score,Houston Rockets,101,Milwaukee Bucks,95,,
2 8 2014,Box Score,Portland Trail Blazers,117,Minnesota Timberwolves,110,,
2 8 2014,Box Score,Golden State Warriors,109,Phoenix Suns,122,,
2 8 2014,Box Score,Miami Heat,89,Utah Jazz,94,,
2 9 2014,Box Score,Dallas Mavericks,102,Boston Celtics,91,,
2 9 2014,Box Score,New Orleans Pelicans,81,Brooklyn Nets,93,,
2 9 2014,Box Score,Memphis Grizzlies,83,Cleveland Cavaliers,91,OT,
2 9 2014,Box Score,Philadelphia 76ers,78,Los Angeles Clippers,123,,
2 9 2014,Box Score,Chicago Bulls,92,Los Angeles Lakers,86,,
2 9 2014,Box Score,New York Knicks,100,Oklahoma City Thunder,112,,
2 9 2014,Box Score,Indiana Pacers,92,Orlando Magic,93,,
2 9 2014,Box Score,Sacramento Kings,84,Washington Wizards,93,,
2 10 2014,Box Score,San Antonio Spurs,100,Detroit Pistons,109,,
2 10 2014,Box Score,Philadelphia 76ers,80,Golden State Warriors,123,,
2 10 2014,Box Score,Denver Nuggets,80,Indiana Pacers,119,,
2 10 2014,Box Score,Boston Celtics,102,Milwaukee Bucks,86,,
2 10 2014,Box Score,Houston Rockets,107,Minnesota Timberwolves,89,,
2 10 2014,Box Score,New Orleans Pelicans,101,Toronto Raptors,108,,
2 11 2014,Box Score,Dallas Mavericks,89,Charlotte Bobcats,114,,
2 11 2014,Box Score,Atlanta Hawks,85,Chicago Bulls,100,,
2 11 2014,Box Score,Sacramento Kings,99,Cleveland Cavaliers,109,,
2 11 2014,Box Score,Utah Jazz,96,Los Angeles Lakers,79,,
2 11 2014,Box Score,Washington Wizards,89,Memphis Grizzlies,92,,
2 11 2014,Box Score,Miami Heat,103,Phoenix Suns,97,,
2 11 2014,Box Score,Oklahoma City Thunder,98,Portland Trail Blazers,95,,
2 12 2014,Box Score,San Antonio Spurs,104,Boston Celtics,92,,
2 12 2014,Box Score,Charlotte Bobcats,89,Brooklyn Nets,105,,
2 12 2014,Box Score,Cleveland Cavaliers,93,Detroit Pistons,89,,
2 12 2014,Box Score,Miami Heat,111,Golden State Warriors,110,,
2 12 2014,Box Score,Washington Wizards,112,Houston Rockets,113,,
2 12 2014,Box Score,Dallas Mavericks,81,Indiana Pacers,73,,
2 12 2014,Box Score,Portland Trail Blazers,117,Los Angeles Clippers,122,,
2 12 2014,Box Score,New Orleans Pelicans,102,Milwaukee Bucks,98,,
2 12 2014,Box Score,Denver Nuggets,90,Minnesota Timberwolves,117,,
2 12 2014,Box Score,Sacramento Kings,106,New York Knicks,101,OT,
2 12 2014,Box Score,Memphis Grizzlies,86,Orlando Magic,81,,
2 12 2014,Box Score,Atlanta Hawks,83,Toronto Raptors,104,,
2 12 2014,Box Score,Philadelphia 76ers,100,Utah Jazz,105,,
2 13 2014,Box Score,Brooklyn Nets,76,Chicago Bulls,92,,
2 13 2014,Box Score,Oklahoma City Thunder,107,Los Angeles Lakers,103,,
2 18 2014,Box Score,Miami Heat,117,Dallas Mavericks,106,,
2 18 2014,Box Score,Phoenix Suns,112,Denver Nuggets,107,OT,
2 18 2014,Box Score,Charlotte Bobcats,108,Detroit Pistons,96,,
2 18 2014,Box Score,Atlanta Hawks,98,Indiana Pacers,108,,
2 18 2014,Box Score,San Antonio Spurs,113,Los Angeles Clippers,103,,
2 18 2014,Box Score,New York Knicks,93,Memphis Grizzlies,98,,
2 18 2014,Box Score,Orlando Magic,100,Milwaukee Bucks,104,,
2 18 2014,Box Score,Cleveland Cavaliers,114,Philadelphia 76ers,85,,
2 18 2014,Box Score,Toronto Raptors,103,Washington Wizards,93,,
2 19 2014,Box Score,Washington Wizards,114,Atlanta Hawks,97,,
2 19 2014,Box Score,Detroit Pistons,98,Charlotte Bobcats,116,,
2 19 2014,Box Score,Orlando Magic,93,Cleveland Cavaliers,101,,
2 19 2014,Box Score,Houston Rockets,134,Los Angeles Lakers,108,,
2 19 2014,Box Score,Indiana Pacers,91,Minnesota Timberwolves,104,,
2 19 2014,Box Score,New York Knicks,98,New Orleans Pelicans,91,,
2 19 2014,Box Score,Boston Celtics,94,Phoenix Suns,100,,
2 19 2014,Box Score,San Antonio Spurs,111,Portland Trail Blazers,109,,
2 19 2014,Box Score,Golden State Warriors,101,Sacramento Kings,92,,
2 19 2014,Box Score,Chicago Bulls,94,Toronto Raptors,92,,
2 19 2014,Box Score,Brooklyn Nets,105,Utah Jazz,99,,
2 20 2014,Box Score,Houston Rockets,99,Golden State Warriors,102,OT,
2 20 2014,Box Score,Denver Nuggets,101,Milwaukee Bucks,90,,
2 20 2014,Box Score,Miami Heat,103,Oklahoma City Thunder,81,,
2 21 2014,Box Score,New Orleans Pelicans,87,Charlotte Bobcats,90,,
2 21 2014,Box Score,Denver Nuggets,89,Chicago Bulls,117,,
2 21 2014,Box Score,Atlanta Hawks,107,Detroit Pistons,115,,
2 21 2014,Box Score,Boston Celtics,92,Los Angeles Lakers,101,,
2 21 2014,Box Score,Los Angeles Clippers,96,Memphis Grizzlies,102,,
2 21 2014,Box Score,New York Knicks,121,Orlando Magic,129,2OT,
2 21 2014,Box Score,Dallas Mavericks,124,Philadelphia 76ers,112,,
2 21 2014,Box Score,San Antonio Spurs,85,Phoenix Suns,106,,
2 21 2014,Box Score,Utah Jazz,94,Portland Trail Blazers,102,,
2 21 2014,Box Score,Cleveland Cavaliers,91,Toronto Raptors,98,,
2 22 2014,Box Score,New York Knicks,98,Atlanta Hawks,107,,
2 22 2014,Box Score,Memphis Grizzlies,89,Charlotte Bobcats,92,,
2 22 2014,Box Score,Dallas Mavericks,113,Detroit Pistons,102,,
2 22 2014,Box Score,Brooklyn Nets,86,Golden State Warriors,93,,
2 22 2014,Box Score,Indiana Pacers,110,Milwaukee Bucks,100,,
2 22 2014,Box Score,Boston Celtics,98,Sacramento Kings,105,,
2 22 2014,Box Score,Minnesota Timberwolves,121,Utah Jazz,104,,
2 22 2014,Box Score,New Orleans Pelicans,93,Washington Wizards,94,,
2 23 2014,Box Score,Washington Wizards,96,Cleveland Cavaliers,83,,
2 23 2014,Box Score,Sacramento Kings,109,Denver Nuggets,95,,
2 23 2014,Box Score,Brooklyn Nets,108,Los Angeles Lakers,102,,
2 23 2014,Box Score,Chicago Bulls,79,Miami Heat,93,,
2 23 2014,Box Score,Los Angeles Clippers,125,Oklahoma City Thunder,117,,
2 23 2014,Box Score,Houston Rockets,115,Phoenix Suns,112,,
2 23 2014,Box Score,Minnesota Timberwolves,97,Portland Trail Blazers,108,,
2 23 2014,Box Score,Orlando Magic,90,Toronto Raptors,105,,
2 24 2014,Box Score,Golden State Warriors,104,Detroit Pistons,96,,
2 24 2014,Box Score,Los Angeles Clippers,123,New Orleans Pelicans,110,,
2 24 2014,Box Score,Dallas Mavericks,110,New York Knicks,108,,
2 24 2014,Box Score,Milwaukee Bucks,130,Philadelphia 76ers,110,,
2 24 2014,Box Score,Boston Celtics,98,Utah Jazz,110,,
2 25 2014,Box Score,Chicago Bulls,107,Atlanta Hawks,103,,
2 25 2014,Box Score,Toronto Raptors,99,Cleveland Cavaliers,93,,
2 25 2014,Box Score,Portland Trail Blazers,100,Denver Nuggets,95,,
2 25 2014,Box Score,Los Angeles Lakers,98,Indiana Pacers,118,,
2 25 2014,Box Score,Minnesota Timberwolves,110,Phoenix Suns,101,,
2 25 2014,Box Score,Houston Rockets,129,Sacramento Kings,103,,
2 25 2014,Box Score,Orlando Magic,106,Washington Wizards,115,,
2 26 2014,Box Score,Atlanta Hawks,104,Boston Celtics,115,,
2 26 2014,Box Score,Golden State Warriors,83,Chicago Bulls,103,,
2 26 2014,Box Score,New Orleans Pelicans,89,Dallas Mavericks,108,,
2 26 2014,Box Score,Houston Rockets,93,Los Angeles Clippers,101,,
2 26 2014,Box Score,Los Angeles Lakers,103,Memphis Grizzlies,108,,
2 26 2014,Box Score,Cleveland Cavaliers,114,Oklahoma City Thunder,104,,
2 26 2014,Box Score,Orlando Magic,101,Philadelphia 76ers,90,,
2 26 2014,Box Score,Brooklyn Nets,80,Portland Trail Blazers,124,,
2 26 2014,Box Score,Detroit Pistons,110,San Antonio Spurs,120,,
2 26 2014,Box Score,Phoenix Suns,86,Utah Jazz,109,,
2 27 2014,Box Score,Brooklyn Nets,112,Denver Nuggets,89,,
2 27 2014,Box Score,Milwaukee Bucks,96,Indiana Pacers,101,,
2 27 2014,Box Score,New York Knicks,82,Miami Heat,108,,
2 27 2014,Box Score,Washington Wizards,134,Toronto Raptors,129,3OT,
2 28 2014,Box Score,Utah Jazz,79,Cleveland Cavaliers,99,,
2 28 2014,Box Score,Chicago Bulls,100,Dallas Mavericks,91,,
2 28 2014,Box Score,Sacramento Kings,122,Los Angeles Lakers,126,,
2 28 2014,Box Score,Golden State Warriors,126,New York Knicks,103,,
2 28 2014,Box Score,Memphis Grizzlies,107,Oklahoma City Thunder,113,,
2 28 2014,Box Score,New Orleans Pelicans,104,Phoenix Suns,116,,
2 28 2014,Box Score,Charlotte Bobcats,82,San Antonio Spurs,92,,
3 1 2014,Box Score,Indiana Pacers,102,Boston Celtics,97,,
3 1 2014,Box Score,Detroit Pistons,110,Houston Rockets,118,,
3 1 2014,Box Score,New Orleans Pelicans,76,Los Angeles Clippers,108,,
3 1 2014,Box Score,Cleveland Cavaliers,96,Memphis Grizzlies,110,,
3 1 2014,Box Score,Orlando Magic,98,Miami Heat,112,,
3 1 2014,Box Score,Brooklyn Nets,107,Milwaukee Bucks,98,,
3 1 2014,Box Score,Washington Wizards,122,Philadelphia 76ers,103,,
3 1 2014,Box Score,Denver Nuggets,96,Portland Trail Blazers,102,,
3 1 2014,Box Score,Minnesota Timberwolves,108,Sacramento Kings,97,,
3 2 2014,Box Score,New York Knicks,90,Chicago Bulls,109,,
3 2 2014,Box Score,Utah Jazz,91,Indiana Pacers,94,,
3 2 2014,Box Score,Charlotte Bobcats,99,Oklahoma City Thunder,116,,
3 2 2014,Box Score,Philadelphia 76ers,81,Orlando Magic,92,,
3 2 2014,Box Score,Atlanta Hawks,120,Phoenix Suns,129,,
3 2 2014,Box Score,Dallas Mavericks,106,San Antonio Spurs,112,,
3 2 2014,Box Score,Golden State Warriors,98,Toronto Raptors,104,,
3 3 2014,Box Score,Chicago Bulls,80,Brooklyn Nets,96,,
3 3 2014,Box Score,Minnesota Timberwolves,132,Denver Nuggets,128,,
3 3 2014,Box Score,New York Knicks,85,Detroit Pistons,96,,
3 3 2014,Box Score,Charlotte Bobcats,107,Miami Heat,124,,
3 3 2014,Box Score,Utah Jazz,88,Milwaukee Bucks,114,,
3 3 2014,Box Score,Los Angeles Lakers,107,Portland Trail Blazers,106,,
3 3 2014,Box Score,New Orleans Pelicans,89,Sacramento Kings,96,,
3 3 2014,Box Score,Memphis Grizzlies,110,Washington Wizards,104,,
3 4 2014,Box Score,San Antonio Spurs,122,Cleveland Cavaliers,101,,
3 4 2014,Box Score,Miami Heat,103,Houston Rockets,106,,
3 4 2014,Box Score,Golden State Warriors,98,Indiana Pacers,96,,
3 4 2014,Box Score,New Orleans Pelicans,132,Los Angeles Lakers,125,,
3 4 2014,Box Score,Philadelphia 76ers,92,Oklahoma City Thunder,125,,
3 4 2014,Box Score,Los Angeles Clippers,104,Phoenix Suns,96,,
3 5 2014,Box Score,Golden State Warriors,108,Boston Celtics,88,,
3 5 2014,Box Score,Memphis Grizzlies,94,Brooklyn Nets,103,,
3 5 2014,Box Score,Indiana Pacers,87,Charlotte Bobcats,109,,
3 5 2014,Box Score,Dallas Mavericks,110,Denver Nuggets,115,,
3 5 2014,Box Score,Chicago Bulls,105,Detroit Pistons,94,,
3 5 2014,Box Score,Sacramento Kings,116,Milwaukee Bucks,102,,
3 5 2014,Box Score,New York Knicks,118,Minnesota Timberwolves,106,,
3 5 2014,Box Score,Houston Rockets,101,Orlando Magic,89,,
3 5 2014,Box Score,Atlanta Hawks,78,Portland Trail Blazers,102,,
3 5 2014,Box Score,Utah Jazz,91,Washington Wizards,104,,
3 6 2014,Box Score,Los Angeles Clippers,142,Los Angeles Lakers,94,,
3 6 2014,Box Score,Oklahoma City Thunder,122,Phoenix Suns,128,,
3 6 2014,Box Score,Miami Heat,87,San Antonio Spurs,111,,
3 7 2014,Box Score,Brooklyn Nets,84,Boston Celtics,91,,
3 7 2014,Box Score,Cleveland Cavaliers,92,Charlotte Bobcats,101,,
3 7 2014,Box Score,Memphis Grizzlies,85,Chicago Bulls,77,,
3 7 2014,Box Score,Portland Trail Blazers,98,Dallas Mavericks,103,,
3 7 2014,Box Score,Los Angeles Lakers,126,Denver Nuggets,134,,
3 7 2014,Box Score,Atlanta Hawks,97,Golden State Warriors,111,,
3 7 2014,Box Score,Indiana Pacers,86,Houston Rockets,112,,
3 7 2014,Box Score,Detroit Pistons,101,Minnesota Timberwolves,114,,
3 7 2014,Box Score,Milwaukee Bucks,104,New Orleans Pelicans,112,,
3 7 2014,Box Score,Utah Jazz,81,New York Knicks,108,,
3 7 2014,Box Score,Sacramento Kings,87,Toronto Raptors,99,,
3 8 2014,Box Score,New York Knicks,107,Cleveland Cavaliers,97,,
3 8 2014,Box Score,Atlanta Hawks,108,Los Angeles Clippers,109,,
3 8 2014,Box Score,Charlotte Bobcats,89,Memphis Grizzlies,111,,
3 8 2014,Box Score,Washington Wizards,114,Milwaukee Bucks,107,,
3 8 2014,Box Score,Utah Jazz,104,Philadelphia 76ers,92,,
3 8 2014,Box Score,Orlando Magic,112,San Antonio Spurs,121,,
3 9 2014,Box Score,Detroit Pistons,111,Boston Celtics,118,,
3 9 2014,Box Score,Sacramento Kings,89,Brooklyn Nets,104,,
3 9 2014,Box Score,Miami Heat,88,Chicago Bulls,95,OT,
3 9 2014,Box Score,Indiana Pacers,94,Dallas Mavericks,105,,
3 9 2014,Box Score,Phoenix Suns,107,Golden State Warriors,113,,
3 9 2014,Box Score,Portland Trail Blazers,113,Houston Rockets,118,OT,
3 9 2014,Box Score,Oklahoma City Thunder,110,Los Angeles Lakers,114,,
3 9 2014,Box Score,Toronto Raptors,111,Minnesota Timberwolves,104,,
3 9 2014,Box Score,Denver Nuggets,107,New Orleans Pelicans,111,OT,
3 10 2014,Box Score,Toronto Raptors,97,Brooklyn Nets,101,,
3 10 2014,Box Score,Denver Nuggets,98,Charlotte Bobcats,105,,
3 10 2014,Box Score,Phoenix Suns,105,Los Angeles Clippers,112,,
3 10 2014,Box Score,Washington Wizards,90,Miami Heat,99,,
3 10 2014,Box Score,Orlando Magic,98,Milwaukee Bucks,105,,
3 10 2014,Box Score,Philadelphia 76ers,110,New York Knicks,123,,
3 10 2014,Box Score,Atlanta Hawks,112,Utah Jazz,110,,
3 11 2014,Box Score,San Antonio Spurs,104,Chicago Bulls,96,,
3 11 2014,Box Score,Sacramento Kings,89,Detroit Pistons,99,,
3 11 2014,Box Score,Dallas Mavericks,85,Golden State Warriors,108,,
3 11 2014,Box Score,Boston Celtics,83,Indiana Pacers,94,,
3 11 2014,Box Score,Portland Trail Blazers,99,Memphis Grizzlies,109,,
3 11 2014,Box Score,Milwaukee Bucks,101,Minnesota Timberwolves,112,,
3 11 2014,Box Score,Houston Rockets,98,Oklahoma City Thunder,106,,
3 12 2014,Box Score,New York Knicks,116,Boston Celtics,92,,
3 12 2014,Box Score,Golden State Warriors,98,Los Angeles Clippers,111,,
3 12 2014,Box Score,Brooklyn Nets,96,Miami Heat,95,,
3 12 2014,Box Score,Memphis Grizzlies,90,New Orleans Pelicans,88,,
3 12 2014,Box Score,Denver Nuggets,120,Orlando Magic,112,,
3 12 2014,Box Score,Sacramento Kings,115,Philadelphia 76ers,98,,
3 12 2014,Box Score,Cleveland Cavaliers,110,Phoenix Suns,101,,
3 12 2014,Box Score,Portland Trail Blazers,90,San Antonio Spurs,103,,
3 12 2014,Box Score,Detroit Pistons,87,Toronto Raptors,101,,
3 12 2014,Box Score,Dallas Mavericks,108,Utah Jazz,101,,
3 12 2014,Box Score,Charlotte Bobcats,98,Washington Wizards,85,,
3 13 2014,Box Score,Milwaukee Bucks,97,Atlanta Hawks,102,,
3 13 2014,Box Score,Houston Rockets,87,Chicago Bulls,111,,
3 13 2014,Box Score,Los Angeles Lakers,102,Oklahoma City Thunder,131,,
3 14 2014,Box Score,Phoenix Suns,87,Boston Celtics,80,,
3 14 2014,Box Score,Minnesota Timberwolves,93,Charlotte Bobcats,105,,
3 14 2014,Box Score,Cleveland Cavaliers,103,Golden State Warriors,94,,
3 14 2014,Box Score,Denver Nuggets,111,Miami Heat,107,,
3 14 2014,Box Score,Portland Trail Blazers,111,New Orleans Pelicans,103,,
3 14 2014,Box Score,Washington Wizards,105,Orlando Magic,101,OT,
3 14 2014,Box Score,Indiana Pacers,101,Philadelphia 76ers,94,,
3 14 2014,Box Score,Los Angeles Lakers,85,San Antonio Spurs,119,,
3 14 2014,Box Score,Memphis Grizzlies,86,Toronto Raptors,99,,
3 14 2014,Box Score,Los Angeles Clippers,96,Utah Jazz,87,,
3 15 2014,Box Score,Denver Nuggets,92,Atlanta Hawks,97,,
3 15 2014,Box Score,Sacramento Kings,87,Chicago Bulls,94,,
3 15 2014,Box Score,Indiana Pacers,112,Detroit Pistons,104,OT,
3 15 2014,Box Score,Milwaukee Bucks,94,New York Knicks,115,,
3 15 2014,Box Score,Memphis Grizzlies,103,Philadelphia 76ers,77,,
3 15 2014,Box Score,Brooklyn Nets,94,Washington Wizards,101,,
3 16 2014,Box Score,Cleveland Cavaliers,80,Los Angeles Clippers,102,,
3 16 2014,Box Score,Houston Rockets,104,Miami Heat,113,,
3 16 2014,Box Score,Charlotte Bobcats,101,Milwaukee Bucks,92,,
